23-05-2022	13:19:36	7e886f0f-8531-4fb2-be57-bd44567f1bb1	GET		/health-check/server
23-05-2022	13:19:50	c9146855-69ed-4fde-ac5d-d6ae3c2bb38a	GET		/api/private/data
23-05-2022	13:23:35	530acc3f-0d0e-4001-84cc-ca629e8f7697	GET		/api/private/data
23-05-2022	13:32:42	dcc8800e-13f5-40f6-9bbd-06c917adaa0b	POST		/auth/login
23-05-2022	13:35:17	9be9a79e-26df-484e-957e-12f67c0bd371	GET		/api/private/data
23-05-2022	13:36:18	45846513-6bb3-4ca6-ad17-16e38cd83099	POST		/auth/login
23-05-2022	13:36:32	c5422e82-938a-4cb4-b020-a6ad3ced4937	GET		/api/private/data
23-05-2022	13:36:50	a780e8b1-8fdf-4eae-94d8-fc70a4246406	GET		/api/private/data
23-05-2022	13:38:07	71f057d9-2a1a-45b3-b197-8a457d8dfa35	POST		/auth/login
23-05-2022	13:38:22	a952dec6-592d-4e97-a106-6311f8402ea8	GET		/api/private/data
23-05-2022	13:38:25	501b2d5d-0fe6-42c8-8c69-a72f3ad169af	GET		/api/private/data
23-05-2022	13:38:48	1e44d135-558b-49dd-899b-bbd72ff6c9aa	GET		/api/private/data
23-05-2022	13:39:20	6649a4ed-6201-4f0c-98ce-340dd960d1e6	GET		/api/private/data
23-05-2022	13:40:30	b466e052-dcf6-4c94-b298-1bf0c6f10b38	GET		/api/private/data
23-05-2022	13:40:31	2b0ecce3-ed22-46b9-8a87-7f2c4f8e1679	GET		/api/private/data
23-05-2022	13:40:33	21919b47-d4be-4308-bee2-35677c2ac32d	GET		/api/private/data
23-05-2022	14:25:35	311072f8-11fc-45b6-a564-0debb6be6524	GET		/api/refresh/token
23-05-2022	14:31:03	922185b2-8137-4d35-930d-2de5edff9d32	GET		/api/refresh/token
24-05-2022	11:38:32	bbf80465-0916-4784-8fe4-f745c85d14a8	GET		/api/refresh/token
24-05-2022	11:41:16	9f202c0b-f598-4445-b7d1-110bda0ab0ec	GET		/api/refresh/token
24-05-2022	11:42:31	4830f8a6-dfb4-4ac6-963a-90a436466ee2	GET		/api/refresh/token
24-05-2022	11:44:50	51c3c4dc-f65e-4300-a725-ddb8ac4e3c2e	GET		/api/refresh/token
24-05-2022	11:50:53	6a042e03-5ce6-41fd-9145-e946b7cc9f5a	GET		/api/refresh/token
24-05-2022	11:54:06	6e37cec4-bf74-41ba-ac0f-d8b37d0f2bc7	GET		/api/refresh/token
24-05-2022	11:54:07	21cf898b-fd5a-446a-b0b9-bb773772d0f0	GET		/api/refresh/token
24-05-2022	11:54:09	d7c27760-92c8-4544-a4a2-1287c407b5c1	GET		/api/refresh/token
24-05-2022	11:54:11	3678cc8b-24f5-4af8-af95-e201333db3b3	GET		/api/refresh/token
24-05-2022	11:54:14	a5eb1951-fcde-49d6-a211-51dcbe34e9e7	GET		/api/refresh/token
24-05-2022	11:54:15	2c7bc7ea-4274-4b2c-8fa2-19263005f119	GET		/api/refresh/token
24-05-2022	11:54:17	a7ad342e-4b8a-44b0-bd05-0570b381e6b1	GET		/api/refresh/token
24-05-2022	11:54:18	7789be06-cc40-4c9d-8a66-1794d52a363e	GET		/api/refresh/token
24-05-2022	11:54:22	36e3ea15-33cd-4db8-97a7-550c2993fbfb	GET		/api/refresh/token
24-05-2022	11:54:26	4f4aa0f5-16ba-4f6a-8a2b-b63901cdac95	GET		/api/refresh/token
24-05-2022	11:54:28	7711ca41-fd84-481d-a1ba-d4bf3bf9f110	GET		/api/refresh/token
24-05-2022	12:16:08	c94f7023-7f78-43eb-92cd-bbbb2b71b809	GET		/api/logout
24-05-2022	12:17:17	67987409-b4d6-4cdd-887d-71e264cd2186	GET		/api/logout
24-05-2022	12:19:12	9b03320d-815a-44b2-9234-c70dcc647f81	GET		/api/logout
24-05-2022	12:19:18	ede50a3b-c9ac-4f5d-939e-b76065d66136	GET		/api/logout
24-05-2022	12:19:46	f34c79cf-a434-4929-858d-98c40abbd610	POST		/auth/login
24-05-2022	12:19:53	eb3ca07b-24b5-4b80-9460-5f1510495e0b	GET		/api/logout
24-05-2022	13:16:46	5f72ded4-fdf9-433d-8ca8-52da2ca37e46	GET		/auth/login
24-05-2022	13:18:16	a6afaefb-60bc-4c05-94de-024f99775ee9	GET		/health-check/server
24-05-2022	13:18:39	382f6043-5000-4698-ab34-de28691320ff	GET		/auth/login
24-05-2022	13:19:04	7af05d88-1605-4e49-a1d8-6bf42a300142	POST		/auth/register
24-05-2022	13:19:13	c18a36d3-b813-468b-b231-8fecdbfffc6d	POST		/auth/login
24-05-2022	13:19:26	f95d82e9-2461-41ce-868d-bf73425698bc	GET		/auth/login
24-05-2022	13:19:34	fcad58ac-ef9d-4397-86eb-f609598337f3	POST		/auth/login
24-05-2022	13:20:58	e7ccb96b-df4b-4174-83b1-06f7e3227303	POST		/auth/login
24-05-2022	13:22:27	ae996c64-e82a-4a6f-b50f-7525ad539872	POST		/auth/login
24-05-2022	13:26:22	2b6c1557-86e5-4b6d-bef5-9884e029e659	GET		/api/private/data
24-05-2022	13:27:55	890275de-f69f-4d3f-9685-10e39aa9d90d	GET		/api/logout
24-05-2022	13:29:59	0f267d98-260a-4336-845a-936fceaa3378	GET		/api/logout
24-05-2022	13:31:06	dc57acba-d6b7-446b-8d1d-61afdcf2a39d	GET		/api/logout
24-05-2022	13:32:43	fcda5fc9-a594-460e-904d-758764b007e4	GET		/auth/login
24-05-2022	13:33:30	5afbee1d-dbf1-42e3-b929-9bf51ae56118	POST		/auth/register
24-05-2022	13:33:40	71cd9fc5-483f-452d-a5ea-b17ab0c23cd6	POST		/auth/login
24-05-2022	13:34:03	01f37c1a-fc51-4d13-9ed4-5cea42d7e7b5	GET		/api/logout
24-05-2022	13:34:31	5a9a1dbf-6cfe-46cb-948e-4daa160a86c8	GET		/api/logout
24-05-2022	13:37:01	370a8f67-d77e-4559-84e0-429b22c0baf6	POST		/auth/login
24-05-2022	13:38:28	3164cfce-0cb3-4939-ad69-8bcfad86805c	GET		/api/logout
24-05-2022	13:39:09	e74095d6-faad-4bbe-81ed-183e0f143d8c	GET		/api/logout
24-05-2022	13:49:24	41516ccf-0224-4519-9837-1eb8d7dcf8b8	GET		/api/logout
24-05-2022	13:51:47	c459fdff-5f0b-4c4d-8484-a2327863ce48	GET		/api/logout
24-05-2022	13:52:36	e466fd5d-52ce-491d-a76a-18351f9012f5	GET		/api/logout
24-05-2022	13:54:13	efcd5e4c-2687-4d9a-a615-8799b6a857dd	POST		/auth/login
24-05-2022	13:54:27	e4ae741a-08c5-43b0-9bf7-6d9dcf6b8606	GET		/api/logout
24-05-2022	13:54:54	0f9d8a40-8e1e-4137-87b1-5b669dbda15f	GET		/api/logout
24-05-2022	13:55:05	3b2ceb6f-a723-4e04-843d-1b82d2aaaf4a	POST		/auth/login
24-05-2022	13:55:08	8cc29230-f084-4971-9d7a-062225ba69b4	GET		/api/logout
24-05-2022	13:58:10	2fcf0f08-28b1-4e74-b62d-100a4c9467b2	POST		/auth/login
24-05-2022	13:58:12	da60d9a4-2bfa-4d2a-bf8a-18b361881486	GET		/api/logout
24-05-2022	13:58:27	42d28ac8-684f-4742-aefb-1754f02f5335	GET		/api/logout
24-05-2022	13:58:34	2d8f1836-b772-415d-a836-3c80daa5a8db	POST		/auth/login
24-05-2022	13:58:38	2d7b728e-ecc7-4605-9fca-b222ed8b069c	GET		/api/logout
24-05-2022	13:58:49	e52ad785-4c79-4b4a-89d6-0a986c429d31	POST		/auth/login
24-05-2022	13:58:59	da67b523-8917-43f9-a85a-04c2a5f3c8a7	GET		/api/logout
24-05-2022	14:00:19	0219ee14-d4b2-45dc-8f8d-798bb7b61247	POST		/auth/login
24-05-2022	14:03:37	fb7aa27a-9b3a-4798-95dc-80c7aea6b107	POST		/auth/login
24-05-2022	14:03:39	ef231be4-fc59-4242-b6f3-2be1cd5389e2	GET		/api/logout
24-05-2022	14:04:18	a3f29276-81cb-4674-ba8a-15931ef9331c	POST		/auth/login
24-05-2022	14:04:21	b39cfa9e-20cf-4e8e-a7b0-990fc78b206d	GET		/api/logout
24-05-2022	14:05:34	444ae0bd-d3fa-479c-9842-07645f148913	POST		/auth/login
24-05-2022	14:05:36	a6dc2265-674f-4360-a059-7ba19ee6ff3c	GET		/api/logout
